12:34:46.158 [ApplicationImpl pooled thread 77] INFO  c.b.l.BrowserStackRunExtension - maven
12:34:46.159 [ApplicationImpl pooled thread 77] INFO  com.browserstack.utils.Helpers - null
17:34:43.372 [ApplicationImpl pooled thread 208] INFO  c.b.l.BrowserStackRunExtension - application
17:34:43.372 [ApplicationImpl pooled thread 208] INFO  com.browserstack.utils.Helpers - null
17:36:42.094 [ApplicationImpl pooled thread 194] INFO  c.b.l.BrowserStackRunExtension - application
17:36:42.094 [ApplicationImpl pooled thread 194] INFO  com.browserstack.utils.Helpers - null
17:38:15.115 [ApplicationImpl pooled thread 204] INFO  c.b.l.BrowserStackRunExtension - application
17:38:15.115 [ApplicationImpl pooled thread 204] INFO  com.browserstack.utils.Helpers - null
17:39:56.211 [ApplicationImpl pooled thread 194] INFO  c.b.l.BrowserStackRunExtension - application
17:39:56.211 [ApplicationImpl pooled thread 194] INFO  com.browserstack.utils.Helpers - null
13:30:11.422 [ApplicationImpl pooled thread 495] INFO  c.b.l.BrowserStackRunExtension - application
13:30:11.453 [ApplicationImpl pooled thread 495] INFO  com.browserstack.utils.Helpers - null
13:41:37.219 [ApplicationImpl pooled thread 497] INFO  c.b.l.BrowserStackRunExtension - application
13:41:37.219 [ApplicationImpl pooled thread 497] INFO  com.browserstack.utils.Helpers - null
14:08:30.795 [ApplicationImpl pooled thread 513] INFO  c.b.l.BrowserStackRunExtension - application
14:08:30.795 [ApplicationImpl pooled thread 513] INFO  com.browserstack.utils.Helpers - null
14:32:14.942 [ApplicationImpl pooled thread 522] INFO  c.b.l.BrowserStackRunExtension - application
14:32:14.942 [ApplicationImpl pooled thread 522] INFO  com.browserstack.utils.Helpers - null
14:33:01.530 [ApplicationImpl pooled thread 527] INFO  c.b.l.BrowserStackRunExtension - application
14:33:01.530 [ApplicationImpl pooled thread 527] INFO  com.browserstack.utils.Helpers - null
14:34:23.026 [ApplicationImpl pooled thread 522] INFO  c.b.l.BrowserStackRunExtension - application
14:34:23.027 [ApplicationImpl pooled thread 522] INFO  com.browserstack.utils.Helpers - null
14:38:25.025 [ApplicationImpl pooled thread 528] INFO  c.b.l.BrowserStackRunExtension - application
14:38:25.026 [ApplicationImpl pooled thread 528] INFO  com.browserstack.utils.Helpers - null
14:46:13.887 [ApplicationImpl pooled thread 528] INFO  c.b.l.BrowserStackRunExtension - application
14:46:13.887 [ApplicationImpl pooled thread 528] INFO  com.browserstack.utils.Helpers - null
